Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
296.3,307.3,1439,41.5,208
296.4,307.4,1416,50,210
296.4,307.4,2833,5.6,213
296.3,307.4,1465,47.1,215
296.4,307.4,1586,35.5,0
296.3,307.3,1567,31.4,5
296.2,307.2,1389,48.6,7
296.3,307.3,1368,49.5,10
296.3,307.3,1444,49,13
296.3,307.3,1498,41.6,15
296.1,307.2,1615,30.8,18
296.1,307.1,1898,22.7,20
296.1,307.1,1350,53.3,22
296.2,307,1516,37.6,25
296.2,307,1542,40.6,28
296.1,306.9,1541,32.6,33
296.1,306.9,1951,23.3,38
296.1,306.8,1645,31,41
296,306.7,1416,44.2,46
296,306.7,2044,22.3,48
295.9,306.6,1414,50.2,51
295.9,306.6,1678,26.7,53
295.9,306.5,1594,33.2,55
295.8,306.5,1514,37.7,60
295.8,306.5,1358,49.2,63
295.8,306.4,1325,56.2,65
295.8,306.4,1339,53.2,67
295.8,306.4,1335,51.7,69
295.9,306.4,1892,21.7,72
295.9,306.4,1575,28.5,74
295.8,306.3,1444,45.5,76
295.7,306.3,1915,22.4,79
295.6,306.2,1584,33.6,81
295.7,306.3,1685,34.9,84
295.8,306.3,1337,54.6,87
295.8,306.3,1235,76.2,89
295.7,306.2,1464,46.2,92
295.7,306.2,1739,25.9,94
295.7,306.3,1490,34.3,97
295.8,306.4,1356,48,99
295.7,306.2,1397,52,101
295.7,306.2,1458,40.6,103
295.7,306.2,2161,16.5,105
295.6,306.1,1651,28.1,110
295.6,306.1,1389,46.2,113
295.6,306,1370,52.4,115
295.7,306.1,1408,47.9,117
295.7,306.1,1343,54.4,119
295.7,306.2,1423,42.5,121
295.6,306.2,1426,48.6,124
295.6,306.2,1435,51.6,126
295.5,306.1,1573,35.1,129
295.6,306.2,1612,31.2,131
295.6,306.2,1446,49.9,133
295.6,306.2,1329,55.3,135
295.6,306.2,1569,35.1,140
295.6,306.1,1256,62.3,142
295.6,306.1,1383,48.7,147
295.7,306.2,2270,14.6,149
295.7,306.2,1458,49.8,151
295.6,306.1,1474,41.2,156
295.6,306.1,1462,49.2,158
295.6,306.1,1669,29,161
295.5,306.1,1822,24.3,164
295.5,306,1456,39.2,167
295.5,306,1546,35.9,169
295.6,306.1,1490,42.7,171
295.6,306,1569,40.4,174
295.5,306,1621,29.5,176
295.4,305.9,1518,40.6,178
295.4,305.8,1526,38.2,181
295.3,305.8,1589,36.2,184
295.3,305.7,1475,51,187
295.3,305.7,1473,38.5,189
295.4,305.8,1407,50.7,192
295.5,305.9,1518,44.1,194
295.5,305.9,1593,37.2,197
295.5,305.9,1380,52.4,202
295.5,306,1423,45.3,205
295.5,306,1800,27.6,208
295.6,306.1,1623,30.9,210
295.6,306.1,1372,55.6,215
295.6,306,1396,52.4,0
295.6,306,1949,21.9,5
295.6,306,1419,51.1,7
295.5,305.9,1453,47.3,9
295.5,305.9,1542,36.2,12
295.6,306,1363,50,14
295.5,306,1597,37.2,16
295.5,306,1326,50.8,18
295.5,306,1641,36.6,21
295.6,306.1,1418,46.2,24
295.6,306.2,1263,61.8,27
295.6,306.2,1823,25.8,29
295.5,306.1,1488,40.7,31
295.6,306.2,1443,48.9,33
295.6,306.2,1650,28.2,35
295.7,306.3,1462,44.3,37
295.6,306.2,1477,45,40
295.7,306.3,1712,28.5,43
295.7,306.3,1347,50.4,46
295.6,306.2,1287,54.8,49
295.6,306.2,1428,44.5,51
295.6,306.3,1426,45.5,53
295.6,306.3,1636,32.7,56
295.6,306.2,1424,42.5,58
295.6,306.3,1509,35.8,60
295.5,306.2,1448,48.9,65
295.5,306.1,1650,32.8,67
295.6,306.2,1414,42.5,69
295.6,306.3,1911,20.9,74
295.6,306.2,1632,32.2,76
295.7,306.4,1387,40.1,81
295.8,306.4,1399,47.6,84
295.8,306.5,1505,35.2,86
295.8,306.5,1534,37.9,88
295.8,306.5,1493,40.5,90
295.8,306.6,1480,43.2,92
295.8,306.6,1621,31.6,95
295.7,306.5,1737,26.2,97
295.8,306.6,1508,46.5,99
295.8,306.5,1641,32.2,101
295.9,306.6,1532,38.6,104
295.9,306.7,1547,40.9,107
295.9,306.6,1412,41,109
295.8,306.5,1568,35.1,111
295.9,306.6,1557,41.1,113
295.8,306.6,1644,35.2,115
295.9,306.6,1679,30.4,117
296,306.6,1511,35.2,119
296,306.6,1628,36.8,121
296,306.6,1392,51.3,124
296,306.7,1917,21,127
296.2,306.8,1526,42.3,129
296.2,306.8,1389,53.3,132
296.1,306.7,1409,42.8,134
296.2,306.8,1655,31.1,136
296.2,306.9,1516,39.1,138
296.2,306.9,1526,34.9,140
296.3,307.1,1419,48.6,142
296.4,307.2,1748,25.3,144
296.4,307.1,1638,32.5,146
296.3,307.1,1534,33.8,151
296.3,307.1,1774,25.9,154
296.2,307,2119,18.3,159
296.2,307,1414,48.3,162
296.1,307,1523,42,164
296.1,307.1,1651,35.7,167
296.1,307.1,1485,36,169
296.2,307.2,1168,63.4,172
296.3,307.3,1566,35.8,175
296.3,307.2,1286,51.1,177
296.3,307.2,1446,45.9,180
296.4,307.2,2071,19.4,183
296.3,307.1,1560,33.2,186
296.3,307.1,1654,29.6,188
296.3,307.1,1662,32.9,190
296.3,307.2,1646,35,192
296.2,307.1,1444,46.7,194
296.3,307.2,1424,42,196
296.2,307.2,1382,52,201
296.2,307.1,1413,53.4,203
296.2,307.2,1633,31.1,0
296.2,307.1,1441,41.7,3
296.2,307.2,1385,44,5
296.2,307.2,1552,34.8,8
296.2,307.3,1451,42.8,11
296.1,307.1,1433,38.5,14
296.1,307.2,1619,29.7,17
296.2,307.2,1445,41.8,20
296.2,307.2,1356,43.6,22
296.3,307.2,1319,68.3,24
296.3,307.2,1637,31.6,27
296.3,307.2,1291,58.6,29
296.3,307.3,1398,52.7,31
296.3,307.3,1372,57.7,33
296.3,307.2,1454,42.5,35
296.2,307.2,1515,36.5,38
296.2,307.3,1881,24.3,40
296.2,307.3,1711,29.9,42
296.2,307.3,1475,37,44
296.4,307.4,1512,36.8,46
296.3,307.4,1335,50.5,48
296.3,307.4,1472,39.9,51
296.2,307.3,1477,35.2,53
296.3,307.4,1760,28.4,56
296.4,307.5,1549,36.1,58
296.3,307.4,1648,34,60
296.4,307.5,1556,38,62
296.3,307.4,1958,19.1,67
296.4,307.4,1403,48.4,70
296.4,307.5,1684,31.4,72
296.4,307.5,1596,35.1,75
296.6,307.6,1498,41.1,80
296.7,307.7,1524,36.8,82
296.7,307.7,1502,43.9,84
296.6,307.6,1809,25.1,86
296.6,307.6,1542,37.4,88
296.5,307.6,1431,45.2,90
296.5,307.6,1512,43.6,92
296.4,307.5,1403,52.8,94
296.4,307.5,1331,47.8,99
296.6,307.7,1474,52.6,101
296.5,307.6,1607,33.5,104
296.5,307.6,1415,44.2,106
296.6,307.6,1671,28.8,108
296.6,307.7,1556,37.7,110
296.7,307.7,1927,23.9,112
296.7,307.7,1597,32.1,114
296.8,307.8,1627,30.5,117
296.8,307.8,1480,39.4,122
296.8,307.8,1565,39.5,124
296.8,307.8,1573,36.4,126
296.7,307.8,1605,31.3,128
296.7,307.9,1874,21.3,130
296.7,307.9,1424,53.8,133
296.7,307.9,1420,50.1,138
296.8,307.9,1372,49,140
296.8,307.8,1664,32.8,142
296.8,307.9,1409,44.3,145
296.8,307.9,1718,25.2,148
296.9,307.8,1544,40.3,150
296.9,307.8,1466,45.7,153
296.8,307.8,1394,47.7,155
296.9,307.8,1840,24.6,157
296.9,307.8,1477,37.2,160
296.9,307.8,1425,49.1,163
297,307.9,1414,46.2,165
297,307.8,1414,47.5,168
297,307.9,1595,31.7,170
296.9,307.8,1345,54.5,172
296.9,307.7,1653,35.9,177
296.8,307.6,1547,36.5,179
296.9,307.7,1656,30.8,181
297,307.7,1731,28.5,186
297,307.8,1774,28,188
297,307.8,1521,40.2,190
297.1,307.9,1420,39.8,192
297,307.8,1683,32.3,197
297,307.7,1498,47.1,199
297,307.8,1385,56.4,202
297,307.9,1455,49,204
296.9,307.8,1549,35.8,206
296.9,307.8,1392,43.9,0
296.9,307.7,2008,17.5,3
296.9,307.7,1464,41.4,6
297,307.7,1447,46.4,8
296.9,307.6,1685,32,10
296.8,307.5,1443,39.2,13
296.9,307.5,1354,44.4,16
296.9,307.5,2721,9.3,18
297,307.6,1680,35.8,20
296.9,307.5,1397,48.3,22
296.9,307.4,1521,37.9,27
296.8,307.4,1472,43.9,30
296.8,307.5,1695,30,33
296.7,307.5,1607,33.6,38
296.8,307.5,1347,54.8,43
296.7,307.4,1540,38.7,45
296.6,307.4,1389,42.7,48
296.6,307.5,1734,27,50
296.7,307.6,1540,38.6,53
296.7,307.5,1515,42.1,55
296.6,307.4,1504,45.8,58
296.6,307.5,1557,35.1,60
296.5,307.4,1292,52.5,62
296.5,307.4,1432,49.2,64
296.5,307.4,1350,55.6,69
296.6,307.4,1790,25.8,72
296.4,307.3,1540,37.4,75
296.4,307.3,2077,19.1,80
296.4,307.3,1487,37.5,83
296.5,307.4,1523,40.7,85
296.5,307.5,1443,41.8,87
296.5,307.5,1340,59.1,89
296.6,307.7,1654,31,91
296.6,307.6,1459,40.2,96
296.5,307.6,1541,38.5,98
296.6,307.7,1386,62.3,100
296.7,307.8,1258,69,105
296.7,307.8,1375,51.4,108
296.8,307.9,1706,30.8,111
296.7,307.8,1672,32.4,113
296.8,307.9,1843,25.2,116
296.7,307.9,1690,29.6,119
296.8,307.9,1413,46.5,121
296.8,307.9,1489,33.4,123
296.8,307.9,1271,61.4,125
296.8,307.9,1418,47.9,127
296.9,307.8,1426,50.7,130
296.9,307.9,1535,39.2,133
296.9,307.8,1557,38.1,135
296.9,307.8,1653,29.7,137
296.9,307.9,1435,41.6,139
297,307.9,1569,33.3,141
296.9,307.9,1385,44.8,144
297,307.9,1635,31.6,147
296.9,307.9,1423,43.9,149
297,307.9,1479,39.2,151
297,307.9,1296,69.1,153
297,307.8,1553,33.3,155
297,307.9,1529,42.2,157
297.1,308,1690,25.6,159
297.1,308,1348,58,162
297.2,308.1,1446,38.5,164
297.1,307.9,1456,50,166
297,307.9,1350,47.7,168
297.1,307.9,1507,38.3,170
297,307.9,1448,45.6,172
296.9,307.9,1626,29.9,177
297,307.9,1846,27.3,179
297,307.8,1404,40.7,184
297,307.8,1583,37.2,189
297,307.9,1436,47.7,191
297,307.8,1609,35.6,193
297,307.7,1834,23.8,195
297,307.8,1316,61.2,200
296.9,307.8,1400,57.1,202
296.9,307.9,1367,47.1,204
297.1,308.1,1754,30.3,206
297.1,308.1,1487,34.6,208
297.1,308.1,1506,37.7,210
297,308.1,1362,52.5,213
297.1,308.1,1584,36.8,215
297,308.1,1355,43.7,217
297.1,308.1,1823,24.3,219
297,308.1,1517,41.4,222
297.1,308.1,1446,36.6,227
297.1,308,1559,38.8,229
297.1,308.1,1352,44.4,0
297.2,308.3,1578,37.8,3
297.2,308.3,1429,42,6
297.2,308.3,1604,39.4,9
297.3,308.5,1398,60.4,12
297.3,308.4,1441,43.4,14
297.3,308.4,1531,35.6,16
297.2,308.3,1379,52.1,21
297.3,308.3,1410,48.1,23
297.3,308.4,1513,40.5,25
297.3,308.5,1497,47.5,27
297.3,308.4,1491,46.5,29
297.3,308.4,1417,47.8,31
297.4,308.6,1522,38,33
297.3,308.4,1339,52.1,36
297.2,308.3,1794,27.5,38
297.2,308.4,1460,42.1,41
297.2,308.3,1776,28,43
297.2,308.3,1431,43.7,46
297.1,308.2,1347,50.8,49
297,308.1,1507,43.1,51
297,308,1408,47.9,54
297,307.9,1493,34.7,57
296.9,307.9,1441,47.6,60
296.9,307.9,1557,36.5,63
296.9,307.9,1979,20.4,68
296.9,308,1430,55.9,71
296.9,308,1658,41,74
297,308.1,1355,51.4,76
297,308.1,1410,47.6,79
296.9,308,1521,34.5,84
296.8,308,1371,54.5,86
296.9,308,1318,53.5,88
297,308.1,1573,34.9,93
297,308.1,1489,44.1,96
297,308.1,2540,13.3,98
297,308.1,1537,39,103
296.9,308,1416,46.9,105
296.9,307.9,1359,56.5,110
296.8,307.8,1551,38.9,112
296.8,307.8,1694,33,115
296.8,307.9,1709,28.4,118
296.9,308,1514,41,120
297,308.1,1455,43.5,122
297,308.2,1702,30.7,124
296.9,308.1,1357,41.8,127
297,308.2,1577,29.4,130
297,308.3,1399,46.4,132
297,308.3,1399,59,135
297,308.3,1492,48.1,137
297.1,308.3,1763,25.7,139
297.1,308.3,1492,41.5,141
297.1,308.4,1488,42.5,146
297.1,308.4,1422,42.1,148
297.1,308.4,1583,38.2,150
297.1,308.4,1304,53.5,153
297.1,308.4,1880,23.5,155
297.2,308.5,1604,40.7,158
297.2,308.6,1500,37.1,161
297.2,308.5,1364,55.6,163
297.2,308.5,2440,14,166
297.1,308.4,1654,31.4,171
297.1,308.4,1359,46.6,176
297.1,308.4,1502,37.3,181
297.1,308.4,1615,32.6,184
297.2,308.5,1482,39.3,187
297.2,308.6,1636,31.3,192
297.1,308.5,1621,32.4,194
297.1,308.4,1468,44.4,197
297.1,308.4,1432,53.4,199
297.1,308.4,1726,28.4,202
297.1,308.4,1588,33.4,204
297.2,308.5,1653,33.3,207
297.2,308.5,1513,42.9,212
297.2,308.6,1489,40.2,214
297.3,308.7,1467,36.8,216
297.3,308.7,1549,36.1,218
297.4,308.8,1359,48.7,220
297.5,308.8,1533,41.5,223
297.5,308.8,1309,57.3,0
297.5,308.8,1430,49.4,2
297.5,308.9,1419,50.7,7
297.5,308.9,1535,37.7,12
297.5,308.9,1466,43,15
297.5,308.9,1427,50.4,17
297.5,308.9,1280,48.5,19
297.6,309,1528,33.8,22
297.6,309,1885,25.2,24
297.8,309.2,1648,33,29
297.8,309.2,1400,56.9,34
297.8,309.3,2243,15.7,36
297.9,309.4,1558,35.7,39
298,309.6,1633,34.8,41
298.1,309.6,1549,38.7,43
298,309.5,1496,45.8,46
298.1,309.5,1467,41.8,48
298,309.4,1276,65.9,50
298,309.4,1490,40.5,53
298,309.4,1562,38.1,58
298.1,309.4,1397,48.2,63
298.1,309.5,1530,40.2,65
298.1,309.4,1362,47.6,70
298.2,309.4,1693,34.4,73
298.2,309.4,1408,46.5,76
298.2,309.4,1398,52.9,79
298.3,309.6,1531,40.1,81
298.3,309.5,1521,37.1,84
298.3,309.5,1427,54.3,89
298.3,309.4,1546,36.1,94
298.3,309.4,1356,45.4,96
298.4,309.5,2153,15.3,98
298.5,309.6,1492,41.7,100
298.5,309.6,1582,40.3,103
298.5,309.6,1419,41.5,105
298.5,309.6,1441,48.2,107
298.6,309.7,1635,32.2,110
298.6,309.7,1429,45.8,113
298.6,309.7,1675,28.4,115
298.7,309.7,1868,23.8,118
298.7,309.8,1582,33.4,121
298.8,309.9,1486,40.3,126
298.7,309.8,1402,54.3,128
298.7,309.9,1621,34.1,130
298.8,309.9,1428,42.4,132
298.7,309.8,1343,53.6,134
298.7,309.9,1458,40.2,137
298.7,309.8,1322,57,140
298.7,309.9,1483,32.8,142
298.6,309.8,1505,45.7,144
298.7,309.9,1593,42.5,146
298.8,310,2098,19.6,148
298.8,310,1672,30.4,150
298.8,310,1487,41.4,152
298.8,310,1423,42.1,154
298.9,310.1,1750,25,156
298.9,310.2,1654,31.1,158
298.9,310.2,1498,50.2,160
298.9,310.1,1587,30.2,162
298.9,310.1,1473,42.6,164
298.9,310.2,1359,56.9,166
299,310.3,1635,34.5,168
299,310.3,1520,45,171
299,310.3,1507,36.7,173
299,310.3,1428,46.3,175
299,310.3,1582,33.3,177
299,310.3,1929,24.4,180
299,310.3,1540,38.1,182
298.9,310.2,1362,53,185
298.9,310.1,1452,49.9,187
298.9,310.1,1361,51.7,192
298.8,310.1,1243,74.5,194
298.8,310.1,1567,36.8,197
298.9,310.2,1411,46.5,202
298.8,310.2,1814,26.8,204
298.8,310.1,1719,28.8,206
298.8,310.2,1663,30.4,209
298.9,310.2,1696,30.2,214
298.9,310.2,1771,26.8,216
299,310.3,1868,24,221
299,310.3,1558,35.4,223
299,310.4,1365,49.1,226
299,310.4,1371,53.8,228
298.9,310.3,1583,32.6,230
298.7,310.2,1613,36,0
298.6,310.1,1721,27.2,5
298.6,310.2,1668,31.5,7
298.6,310.2,1569,36.3,10
298.6,310.2,1328,50.5,12
298.6,310.1,1596,33,15
298.5,310.2,1676,32.7,18
298.5,310.1,1809,28.9,20
298.5,310,1804,26.1,22
298.6,310.1,1533,33.9,24
298.7,310.2,1717,27.3,26
298.7,310.2,1363,45.5,28
298.7,310.2,1402,45.9,30
298.7,310.2,1436,47.5,32
298.7,310.2,1525,43.7,34
298.7,310.2,1598,33.3,36
298.6,310.1,1444,48.1,39
298.6,310,1334,48,42
298.6,310,1681,35.5,44
298.6,309.9,1593,37.4,47
298.6,309.9,1461,45.7,49
298.7,310.1,1693,31.9,51
298.7,310.2,1404,50.3,54
298.8,310.2,1707,27.6,56
298.6,310.1,1458,41.9,61
298.6,310,1517,41.2,64
298.7,310.1,1433,54.6,66
298.7,310.2,1566,33.1,68
298.7,310.1,1676,33.5,70
298.7,310.1,1368,56.8,72
298.8,310.2,1581,37.5,75
298.8,310.3,1708,27.1,78
298.7,310.3,1481,41.5,83
298.7,310.3,1451,40,86
298.7,310.3,1495,38.7,88
298.8,310.3,1573,41.8,91
298.8,310.3,1366,59,94
298.8,310.3,1553,36.8,97
298.8,310.3,1528,37.1,99
298.8,310.2,1527,31.2,102
298.8,310.2,1461,46.7,105
298.8,310.2,1455,44.9,107
298.7,310.1,1620,34.8,112
298.7,310.1,1786,27.7,114
298.8,310.2,1583,35.7,116
298.8,310.1,1653,30.3,119
298.9,310.2,1331,49,121
298.9,310.3,1484,43.8,124
298.9,310.2,1603,36.1,126
298.9,310.2,1445,40,129
298.9,310.1,1823,26.1,131
298.9,310.1,1491,45.3,133
298.9,310.2,1533,42.8,138
298.9,310.2,1409,54.8,140
298.9,310.2,2737,8.8,142
299,310.3,1494,46.6,144
299.1,310.4,1594,33.3,147
299.1,310.4,1527,44,149
299.1,310.4,1452,39.7,151
299,310.3,1483,39.2,153
299.1,310.2,1569,38.2,155
299.1,310.3,1472,46.6,157
299,310.2,1533,43.5,159
298.9,310.1,1366,62.7,161
298.9,310.2,1532,37.7,166
298.9,310.1,1313,56.8,171
299,310.2,1372,48,174
298.9,310.1,1555,40.6,176
298.9,310.1,1394,42.7,179
298.9,310.1,1442,48,181
298.9,310,1564,33.8,183
298.9,310,1452,48.9,185
298.9,310.1,1466,42.5,187
298.9,310.1,1469,53.2,189
298.9,310.1,1944,23.4,192
298.8,309.9,1415,53.2,194
298.7,309.8,1528,36.7,197
298.7,309.8,1570,42.1,200
298.7,309.9,1617,33,203
298.7,309.9,2083,18.2,205
298.7,309.9,1541,38.5,208
298.8,309.9,1320,47.4,210
298.7,309.8,1354,53.3,212
298.8,309.9,1495,35.2,214
298.7,309.8,1589,31.8,217
298.7,309.8,1530,35.5,0
298.7,309.8,1539,33.4,2
298.7,309.7,1462,46.8,4
298.6,309.7,1356,54,6
298.7,309.7,1622,34.6,8
298.7,309.8,1394,40.3,11
298.8,309.9,1568,33.7,13
298.9,310,1456,43.8,15
298.9,310,1378,49.3,18
298.9,309.9,1404,41.4,20
298.8,309.8,1437,42.8,23
298.8,309.8,1363,44,25
298.8,309.8,1377,49.6,27
298.8,309.9,1526,42.1,30
298.8,309.8,1510,44.2,35
298.8,309.9,1439,45.2,40
298.8,309.9,1482,39.1,45
298.8,309.8,1534,37,47
298.8,309.9,1741,27.7,50
298.8,309.9,1550,38.8,53
298.8,310,1486,38.5,55
298.9,310.1,1602,38.2,58
299,310.2,1477,37.9,60
299,310.1,1618,29.2,62
299,310.2,1628,35.8,64
299,310.3,1662,33.6,67
299,310.3,1657,31,70
299,310.4,1677,30.8,73
299,310.3,1447,39.9,78
298.9,310.4,1831,25.4,81
299,310.3,1584,34.4,83
299.1,310.4,1450,40.9,85
299.1,310.4,1428,46.9,87
299,310.4,1382,53,89
299,310.3,1501,43,91
299,310.3,1475,42.4,93
298.9,310.3,1364,54,95
299,310.3,1472,36.1,97
299,310.3,1437,47.8,99
298.9,310.2,1491,45.1,101
298.9,310.2,1706,27.6,103
298.8,310.1,1607,39.5,105
298.8,310,1412,46.3,107
298.7,309.8,1546,40.9,109
298.7,309.8,1365,50.5,111
298.6,309.8,1544,30.2,113
298.6,309.8,1419,44.9,115
298.6,309.8,1497,41.6,118
298.5,309.7,1437,42.6,120
298.5,309.6,1421,53.6,122
298.5,309.6,1438,44.5,124
298.5,309.5,1315,48.9,127
298.5,309.5,1366,61.9,130
298.4,309.5,1519,35.4,133
298.4,309.5,1692,28.3,136
298.3,309.4,1570,35.6,138
298.3,309.4,1568,35.8,140
298.2,309.3,1355,43.8,142
298.2,309.3,2056,18.7,144
298.2,309.2,1332,60.2,147
298.1,309.1,1448,52.5,150
298,308.9,1578,35.6,153
298,309,1562,39.2,155
298.1,309,1976,19.3,158
298.2,309.2,1524,34.6,161
298.2,309.1,1429,48.5,164
298.2,309.1,1568,36.3,166
298.2,309,1723,26.6,168
298.2,309,1341,43.8,171
298.1,308.9,1353,46.2,173
298,308.7,1479,58.5,176
298,308.8,1496,44.9,179
298,308.7,1377,48.5,181
297.9,308.5,1383,44.6,184
298,308.7,1268,69.4,189
298,308.7,1629,34.3,191
298,308.8,1790,27.2,193
298.1,308.8,2206,16.3,195
298,308.7,2101,17.4,198
298,308.7,1436,48.2,201
298,308.7,1462,48.2,204
298,308.7,1771,26.2,206
298,308.7,1506,47,208
298,308.7,1626,36.7,210
298,308.8,1610,33.7,212
298,308.6,1376,55.7,214
298,308.6,1507,37.3,217
298,308.5,1429,37.7,220
298.1,308.7,1547,38.9,0
298.1,308.7,1642,30.3,3
298,308.7,1503,36.3,5
298.1,308.7,1568,32.9,10
298.1,308.8,1628,37.6,12
298.2,308.9,1614,35.5,15
298.2,308.9,1278,54,18
298.2,308.9,1408,38.8,20
298.2,309,1371,55.7,23
298.2,308.9,1512,38.5,28
298.3,309.1,1472,40.1,31
298.2,308.9,1585,34.3,33
298.2,309,1562,37.7,36
298.3,309,1519,36.9,41
298.2,309,1601,35.8,43
298.2,309,2449,13.8,45
298.1,309,1787,27.6,47
298.1,309.1,1425,44.5,49
298.1,309,1559,34,54
298.1,309,1557,36,56
298.1,309,1497,40.5,58
298.1,309,1438,41.4,60
298.1,308.9,1417,39.2,65
298,308.9,1339,51.4,68
298,308.8,1757,29.1,71
298,308.8,1581,36.1,73
298.2,308.9,1326,54.4,75
298.4,309.1,1467,39.6,78
298.4,309.1,1798,29.6,81
298.5,309.2,1449,46.4,83
298.4,309.1,1525,39.3,86
298.4,309,2304,15.1,89
298.3,308.9,1379,54.7,91
298.4,308.9,1628,34.9,93
298.4,309,1474,52.7,95
298.4,309,1544,38.8,97
298.4,308.9,1391,48.4,100
298.3,308.9,1348,55.5,102
298.3,308.8,1349,52.1,104
298.4,308.9,1706,29.5,107
298.4,308.9,1638,32.4,109
298.4,308.8,1458,40.1,111
298.5,308.9,1781,27.8,113
298.5,308.8,1332,59.1,115
298.4,308.7,1584,31.7,117
298.4,308.6,1491,42,120
298.4,308.5,1398,47.1,122
298.3,308.4,1585,30.6,127
298.2,308.3,1476,43.5,129
298.2,308.3,1458,41.8,132
298.2,308.4,1510,39.9,134
298.2,308.4,1388,53.8,137
298.2,308.3,2216,16.8,139
298.2,308.3,1402,51,141
298,308.2,2090,19,143
298,308.2,1459,42.1,146
298,308.1,1403,44.8,148
298.1,308.2,1521,39.3,151
298.2,308.2,1407,47.1,153
298.1,308.2,1654,35.3,155
298.2,308.4,1452,43.5,158
298.3,308.4,1528,37.3,160
298.2,308.3,1230,59.6,162
298.2,308.2,1466,42.4,164
298.2,308.2,1478,50.1,166
298.2,308.3,2057,18,168
298.3,308.4,1490,41.7,170
298.3,308.4,1484,43.4,172
298.3,308.4,1593,37,174
298.3,308.3,1444,43.8,176
298.3,308.4,1444,47.5,178
298.2,308.3,1560,33,181
298.1,308.3,1530,42,184
298.2,308.4,1310,61,189
298.2,308.3,1639,33.3,191
298.2,308.3,1400,48.7,194
298.3,308.4,1486,44.2,196
298.2,308.3,1448,43.3,199
298.2,308.3,1688,32,202
298.1,308.3,1453,41.5,204
298.2,308.4,1497,37.7,207
298.2,308.4,1355,49.4,209
298.1,308.4,1592,38.2,211
298,308.3,1544,34.7,213
298,308.2,1373,51.2,215
298,308.2,1365,52.9,218
298,308.1,1877,24.3,0
297.9,308.1,1531,40.8,2
297.9,308,1501,36.7,4
297.9,308,1490,46.2,6
297.8,307.8,1543,43.7,8
297.8,307.8,1597,38.2,11
297.8,307.9,1600,33.5,13
297.8,307.8,1622,32.1,18
297.8,307.8,1452,39.8,21
297.8,307.8,1396,42.5,23
297.8,307.7,1505,39.7,25
297.8,307.8,1412,48.3,27
297.8,307.7,1393,38,29
297.7,307.7,1581,34.9,31
297.8,307.8,1573,37.9,33
297.8,307.9,1726,27.3,35
297.9,307.9,1540,39.8,38
297.9,308,1296,62.9,41
297.8,307.9,1802,25.8,43
297.8,307.9,1447,48.6,46
297.8,307.8,1662,30.7,48
297.8,307.8,1563,34.3,53
297.9,307.8,1286,59.5,55
297.9,307.7,1590,34.6,57
297.9,307.7,1492,43.7,59
297.7,307.6,1844,21.9,61
297.7,307.6,1538,38.3,63
297.7,307.6,1921,22.9,68
297.8,307.8,1310,57.9,70
297.9,307.8,1365,46.9,73
297.9,307.8,1303,59.3,75
297.9,307.8,1499,37.5,78
297.9,307.8,1451,38.2,80
297.9,307.9,1336,54.4,82
297.9,307.9,1412,44.5,85
298,308,1433,39.2,87
297.9,307.9,1426,43.6,89
297.9,307.9,1476,45.2,91
297.9,307.9,1406,58.5,93
297.8,307.8,1383,56.5,98
297.9,307.8,1505,37.3,100
297.9,307.8,1665,33.9,102
297.9,307.8,1397,45,104
297.9,307.8,1450,43.5,106
298,307.8,1567,36.4,109
298,308,1555,37,111
298,307.8,1588,35.4,114
298,307.8,1453,37.7,119
298,307.8,1622,33.3,121
297.9,307.8,1538,38.5,123
297.9,307.7,1527,42.8,125
297.8,307.8,1761,28.9,128
297.9,307.8,1373,50.2,130
298,307.9,1482,37.8,132
298,307.9,1417,51,137
298,307.8,1414,51.7,140
297.9,307.8,1635,34,142
298,307.8,1386,57.3,147
298.2,308.1,1379,62.3,149
298.2,308,1577,35.9,151
298.2,308.1,1532,42.5,154
298.1,308,1374,48.8,156
298.1,308,1570,35.3,159
298.1,308,1697,31,164
298.2,308,1499,44.1,166
298.2,308,1411,47.2,168
298.2,307.9,1462,45.5,171
298.1,307.9,1759,28.6,176
298.2,308,1535,38,179
298.2,307.9,1491,39.7,181
298.2,307.9,1551,36,186
298.2,307.9,1769,27.2,188
298.2,307.9,1551,34.1,190
298.2,307.9,1544,31.4,192
298.2,307.8,1528,31.1,194
298.1,307.9,1614,35.8,196
298.1,307.8,1432,49.8,198
298.1,307.8,1384,43.7,200
298.1,307.8,1540,37.8,203
298,307.7,1407,43.9,205
297.9,307.6,1418,43,207
297.9,307.5,1647,30.8,212
298,307.5,1644,32.8,215
298,307.5,1792,27.9,217
297.9,307.4,1610,34.6,219
297.8,307.3,1804,26,222
297.9,307.4,1604,36.1,225
297.9,307.4,1403,52.8,0
297.8,307.3,1438,44.5,3
297.9,307.3,1824,26.3,5
297.9,307.3,1663,28.7,7
297.9,307.3,1502,36.7,12
297.9,307.4,1606,35.5,14
297.9,307.5,1561,37.7,16
297.9,307.4,1435,42.9,18
297.9,307.5,1602,38.3,21
298.1,307.6,1764,27.7,23
298,307.5,1683,27.8,26
298,307.5,1618,35.2,31
298,307.6,1509,41.6,33
297.9,307.6,1550,39,35
297.9,307.6,1519,44,37
297.9,307.6,1481,38,40
298.1,307.7,1289,48.3,42
